name,categories,city,state,postalCode,latitude,longitude,region
90 Miles Cuban Cafe,Ethnic,Chicago,IL,60618,41.937897,-87.685781,Midwest
A's Ace Burgers,Burger,Dana Point,CA,92629,33.4645,-117.6845,West
A&W/Long John Silvers,Seafood,Belle Vernon,PA,15012,40.136482,-79.84281999999999,Northeast
Abruzzi Pizza,Pizza,Brookhaven,PA,19015,39.87257,-75.38722,Northeast
Acropolis Gyro Palace,Ethnic,Columbus,OH,43214,40.071324,-83.018535,Midwest
Adobe Cantina Salsa,Ethnic,Hammond,LA,70401,30.501009999999997,-90.48098,South
All About Burger,Burger,Arlington,VA,22201,38.88365,-77.099486,South
Ameci Pizza & Pasta,Pizza,Agoura Hills,CA,91301,34.15483,-118.78855,West
Andy's Frozen Custard,Snack,Springfield,MO,65804,37.1808,-93.2316,Midwest
Andy's Frozen Custard,Snack,Kansas City,MO,64111,39.05024,-94.6013,Midwest
Andy's Frozen Custard,Snack,Tyler,TX,75703,32.28309,-95.30488000000001,South
Angelina's Pizza,Pizza,Olmsted Falls,OH,44138,41.37338,-81.90162,Midwest
Ani's Chicken,Chicken,Montebello,CA,90640,34.018116,-118.1053,West
Arby's,Sandwich,Pigeon Forge,TN,37863,35.782339,-83.551408,South
Arby's,Sandwich,Chula Vista,CA,91915,32.646857000000004,-116.967527,West
Arby's,Sandwich,Brooksville,FL,34613,28.534187,-82.516103,South
Arby's,Sandwich,Estero,FL,33928,26.432003,-81.789408,South
Arby's,Sandwich,Dover,DE,19904,39.158375,-75.550267,South
Arby's,Sandwich,Dover,DE,19904,39.158375,-75.550267,South
Arby's,Sandwich,Aurora,CO,80012,39.697205,-104.82432299999999,West
Arby's,Sandwich,Clarksville,TN,37040,36.594351,-87.287425,South
Arby's,Sandwich,Brookings,SD,57006,44.31095,-96.77414,Midwest
Arby's,Sandwich,Brookings,SD,57006,44.31095,-96.77414,Midwest
Arby's,Sandwich,Cody,WY,82414,44.516059999999996,-109.08971000000001,West
Arby's,Sandwich,Collierville,TN,38017,35.045609999999996,-89.6942,South
Arby's,Sandwich,Casper,WY,82604,42.82804,-106.354802,West
Arby's,Sandwich,Cordova,TN,38016,35.175914,-89.792333,South
Arby's,Sandwich,Defiance,OH,43512,41.303027,-84.36127900000001,Midwest
Arby's,Sandwich,Aberdeen,SD,57401,45.459587,-98.469823,Midwest
Arby's,Sandwich,Blountville,TN,37617,36.541865,-82.33235,South
Arby's,Sandwich,Blountville,TN,37617,36.541865,-82.33235,South
Arby's,Sandwich,Christiansburg,VA,24073,37.166086,-80.422225,South
Arby's,Sandwich,El Paso,TX,79924,31.88498,-106.41861200000001,South
Arby's,Sandwich,Burleson,TX,76028,32.563248,-97.322393,South
Arby's,Sandwich,Abilene,TX,79606,32.405234,-99.764985,South
Arby's,Sandwich,Chestertown,MD,21620,39.224652,-76.06993,South
Arby's,Sandwich,Chestertown,MD,21620,39.224652,-76.06993,South
Arby's,Sandwich,Orlando,FL,32809,28.440040000000003,-81.4037,South
Arby's,Sandwich,Fairless Hills,PA,19030,40.169035,-74.849233,Northeast
Arby's,Sandwich,Fairless Hills,PA,19030,40.169035,-74.849233,Northeast
Arby's,Sandwich,Ephrata,PA,17522,40.164651,-76.154297,Northeast
Arby's,Sandwich,Abingdon,VA,24210,36.705143,-81.974501,South
Arby's,Sandwich,Abingdon,VA,24210,36.705143,-81.974501,South
Arby's,Sandwich,Erie,PA,16509,42.092031,-80.084087,Northeast
Arby's,Sandwich,Erie,PA,16504,42.108354999999996,-80.050799,Northeast
Arby's,Sandwich,Crawfordsville,IN,47933,40.021575,-86.90334399999999,Midwest
Arby's,Sandwich,Gaffney,SC,29341,35.077732,-81.70352700000001,South
Arby's,Sandwich,Florissant,MO,63033,38.8067,-90.297975,Midwest
Arby's,Sandwich,Florence,SC,29501,34.188759999999995,-79.82401999999999,South
Arby's,Sandwich,Florence,SC,29505,34.166512,-79.763886,South
Arby's,Sandwich,Alpena,MI,49707,45.044076000000004,-83.456928,Midwest
Arby's,Sandwich,Baton Rouge,LA,70809,30.390990000000002,-91.06156,South
Arby's,Sandwich,Albert Lea,MN,56007,43.684267,-93.359575,Midwest
Arby's,Sandwich,Lexington,NC,27292,35.826728,-80.249726,South
Arby's,Sandwich,DeKalb,IL,60115,41.948496999999996,-88.729428,Midwest
Arby's,Sandwich,Mount Pleasant,MI,48858,43.590028000000004,-84.768477,Midwest
Arby's,Sandwich,Flint,MI,48507,42.945527,-83.69153,Midwest
Arby's,Sandwich,Cadillac,MI,49601,44.275721000000004,-85.406141,Midwest
Arby's,Sandwich,Grand Rapids,MI,49544,43.009426,-85.689161,Midwest
Arby's,Sandwich,Wyoming,MI,49509,42.884654,-85.683497,Midwest
Arby's,Sandwich,Grand Rapids,MI,49512,42.912151,-85.59357299999999,Midwest
Arby's,Sandwich,Grand Rapids,MI,49505,42.984058000000005,-85.638407,Midwest
Arby's,Sandwich,Grandville,MI,49418,42.905049,-85.776885,Midwest
Arby's,Sandwich,Holland,MI,49423,42.755541,-86.11581,Midwest
Arby's,Sandwich,Hillsdale,MI,49242,41.938054,-84.644247,Midwest
Arby's,Sandwich,Lowell,MI,49331,42.931488,-85.362962,Midwest
Arby's,Sandwich,Jackson,MI,49202,42.261453,-84.423763,Midwest
Arby's,Sandwich,Plainwell,MI,49080,42.450431,-85.663248,Midwest
Arby's,Sandwich,Plainwell,MI,49080,42.450431,-85.663248,Midwest
Arby's,Sandwich,Marshall,MI,49068,42.272194,-84.983336,Midwest
Arby's,Sandwich,Portage,MI,49024,42.194115999999994,-85.597792,Midwest
Arby's,Sandwich,Kalamazoo,MI,49001,42.261765999999994,-85.53267,Midwest
Arby's,Sandwich,Lansing,MI,48911,42.669926000000004,-84.543872,Midwest
