state,Burger,Chicken,Ethnic,Pizza,Sandwich,Seafood,Snack
AK,3,0,4,1,6,0,1
AL,2,1,3,0,0,0,0
AR,47,7,18,6,18,2,3
AZ,148,15,73,31,48,2,12
CA,615,70,214,78,112,2,67
CO,53,7,38,2,38,3,6
CT,18,5,5,1,18,1,2
DE,13,2,8,1,15,1,1
FL,315,61,84,26,98,5,24
GA,207,33,50,16,71,6,32
HI,27,0,2,1,0,0,1
IA,59,3,6,13,18,1,15
ID,21,0,7,4,14,0,3
IL,204,11,48,20,79,0,25
IN,72,5,51,16,84,8,13
KS,21,6,19,3,18,2,1
KY,91,6,27,10,20,7,4
LA,111,21,27,17,21,0,3
MA,85,9,14,16,34,1,36
MD,83,17,26,7,27,2,1
ME,15,0,4,2,2,1,1
MI,170,5,61,14,111,0,9
MN,86,2,34,13,52,0,7
MO,65,1,51,5,34,1,2
MS,29,5,6,4,10,0,1
MT,13,0,11,5,8,0,1
NC,133,41,22,25,64,1,6
ND,11,1,10,4,9,0,0
NE,32,5,15,8,11,0,3
NH,18,4,7,2,3,0,0
NJ,69,15,20,10,6,0,5
NM,41,3,17,11,4,1,0
NV,57,3,36,6,16,1,2
NY,175,26,27,18,74,1,23
OH,233,35,54,29,141,7,14
OK,69,10,26,17,40,0,4
OR,94,1,18,5,27,0,9
PA,183,24,25,28,79,3,26
RI,5,0,2,4,3,0,0
SC,90,22,14,8,42,0,10
SD,19,0,11,1,10,0,1
TN,158,18,30,19,62,3,8
TX,405,105,106,29,109,7,40
UT,19,2,11,4,22,0,0
VA,97,31,31,13,74,0,6
VT,11,0,1,0,2,0,0
WA,97,3,48,9,28,0,3
WI,77,8,25,15,47,0,7
WV,37,3,7,7,6,0,7
WY,10,0,2,4,9,0,3
