state abbr,number of restaurants,poverty,povertyMoe,age,ageMoe,income,incomeMoe,healthcare,healthcareLow,healthcareHigh,obesity,obesityLow,obesityHigh,smokes,smokesLow,smokesHigh,rank,﻿State,population
CA,1201,16.4,0.2,36.0,0.1,61933,238,14.8,13.8,15.8,24.7,23.5,25.9,12.9,11.9,13.8,1,California,39557045
TX,811,17.2,0.2,34.3,0.1,53035,377,24.9,23.7,26.1,31.9,30.6,33.3,14.5,13.6,15.5,2,Texas,28701845
FL,621,16.5,0.3,41.6,0.1,47463,329,17.6,16.4,18.8,26.2,25.0,27.5,17.7,16.5,18.8,3,Florida,21299325
OH,522,15.8,0.3,39.4,0.1,49308,363,10.2,9.2,11.3,32.6,31.2,34.1,21.0,19.7,22.3,7,Ohio,11689442
GA,420,18.3,0.4,36.1,0.1,49321,543,20.9,19.3,22.5,30.5,28.9,32.1,17.4,15.9,18.8,8,Georgia,10519475
IL,405,14.4,0.3,37.5,0.2,57444,429,11.9,10.5,13.3,29.3,27.6,31.1,16.5,15.1,18.0,6,Illinois,12741080
PA,383,13.6,0.3,40.7,0.1,53234,420,10.1,9.2,11.1,30.2,28.9,31.4,19.9,18.8,21.1,5,Pennsylvania,12807060
MI,374,16.2,0.3,39.6,0.1,49847,385,10.3,9.3,11.2,30.7,29.4,32.0,21.2,20.0,22.5,10,Michigan,9995915
NY,352,15.9,0.3,38.2,0.1,58878,393,12.3,11.1,13.4,27.0,25.6,28.4,14.4,13.3,15.5,4,New York,19542209
AZ,330,18.2,0.4,36.9,0.1,50068,483,14.4,13.3,15.6,28.9,27.7,30.2,16.5,15.4,17.6,14,Arizona,7171646
TN,302,18.3,0.4,38.6,0.1,44361,561,14.2,12.6,15.9,31.2,29.3,33.1,24.2,22.3,26.1,16,Tennessee,6770010
NC,295,17.2,0.3,38.3,0.1,46556,381,16.1,15.1,17.2,29.7,28.4,31.0,19.1,17.9,20.3,9,North Carolina,10383620
IN,254,15.2,0.4,37.4,0.2,49446,487,14.8,13.8,15.8,32.7,31.5,33.9,22.9,21.8,24.1,17,Indiana,6691878
VA,253,11.8,0.3,37.7,0.1,64902,624,13.1,12.0,14.1,28.5,27.2,29.7,19.5,18.4,20.7,12,Virginia,8517685
MA,205,11.6,0.3,39.4,0.2,69160,957,4.6,4.0,5.2,23.3,22.3,24.4,14.7,13.7,15.7,15,Massachusetts,6902149
LA,202,19.8,0.5,36.1,0.1,44555,738,18.7,17.4,20.0,34.9,33.4,36.4,24.0,22.6,25.4,25,Louisiana,4659978
MN,199,11.5,0.4,37.8,0.1,61481,471,7.3,6.7,7.9,27.6,26.8,28.5,16.3,15.6,17.0,22,Minnesota,5611179
WA,196,13.2,0.4,37.5,0.1,61366,485,10.7,9.7,11.8,27.3,26.0,28.5,15.3,14.3,16.4,13,Washington,7535591
WI,189,13.2,0.4,39.2,0.2,52622,433,8.5,7.4,9.7,31.2,29.6,32.8,17.4,16.0,18.7,20,Wisconsin,5813568
SC,188,18.0,0.5,38.8,0.1,45238,507,17.1,16.0,18.2,32.1,30.9,33.3,21.5,20.4,22.7,23,South Carolina,5084127
MD,172,10.1,0.4,38.3,0.1,73971,867,9.2,8.0,10.4,29.6,28.1,31.1,14.6,13.4,15.9,19,Maryland,6042718
OK,166,16.6,0.4,36.2,0.2,47529,454,13.9,12.9,15.0,33.0,31.6,34.3,21.1,19.9,22.3,28,Oklahoma,3943079
KY,166,19.1,0.5,38.5,0.2,42958,697,10.0,8.8,11.1,31.6,30.2,33.1,26.2,24.7,27.7,26,Kentucky,4468402
MO,163,15.5,0.4,38.5,0.1,48363,567,12.9,11.6,14.3,30.2,28.6,31.9,20.6,19.2,22.1,18,Missouri,6126452
OR,154,16.6,0.5,39.3,0.2,51075,490,11.0,9.7,12.4,27.9,26.2,29.6,17.0,15.5,18.4,27,Oregon,4190713
CO,148,12.0,0.4,36.3,0.1,61303,487,12.8,11.9,13.6,21.3,20.4,22.2,15.7,14.8,16.6,21,Colorado,5695564
NJ,129,11.1,0.3,39.4,0.2,71919,438,12.5,11.5,13.4,26.9,25.7,28.1,15.1,14.1,16.1,11,New Jersey,8908520
NV,121,15.2,0.7,37.4,0.2,51450,683,17.1,15.0,19.3,27.7,25.3,30.1,17.0,15.0,19.0,32,Nevada,3034392
IA,115,12.2,0.5,38.2,0.1,53712,761,7.7,6.8,8.6,30.9,29.6,32.3,18.5,17.3,19.7,31,Iowa,3156145
AR,102,18.9,0.5,37.8,0.2,41262,653,16.3,14.4,18.2,35.9,33.8,38.0,24.7,22.7,26.7,33,Arkansas,3013825
NE,87,12.4,0.5,36.2,0.2,52686,688,12.4,11.5,13.2,30.2,29.2,31.2,17.3,16.5,18.2,37,Nebraska,1929268
NM,78,21.3,0.9,37.2,0.2,44803,849,15.4,14.1,16.8,28.4,26.9,30.0,19.2,17.7,20.6,36,New Mexico,2095428
KS,74,13.6,0.5,36.2,0.1,52504,706,14.5,13.7,15.3,31.3,30.3,32.2,18.1,17.2,18.9,35,Kansas,2911505
WV,70,18.3,0.7,41.9,0.2,41059,651,10.1,9.1,11.2,35.7,34.2,37.2,26.7,25.2,28.1,38,West Virginia,1805832
UT,63,11.7,0.6,30.5,0.1,60922,658,13.9,13.2,14.6,25.7,24.9,26.6,9.7,9.0,10.3,30,Utah,3161105
MS,55,21.5,0.6,36.7,0.2,39680,773,18.8,17.0,20.7,35.5,33.4,37.6,23.0,21.0,24.9,34,Mississippi,2986530
CT,53,10.8,0.5,40.5,0.2,70048,828,8.7,7.6,9.7,26.3,24.8,27.7,15.4,14.2,16.7,29,Connecticut,3572665
ID,51,14.8,0.7,35.9,0.2,47861,1275,16.5,15.0,18.1,28.9,27.1,30.8,15.9,14.4,17.4,39,Idaho,1754208
DE,44,12.5,0.9,39.6,0.3,59716,1674,8.7,7.4,9.9,30.7,28.6,32.7,19.9,17.9,21.8,45,Delaware,967171
SD,42,14.2,0.7,36.6,0.3,50979,1027,9.9,8.4,11.4,29.8,27.9,31.8,18.6,16.9,20.2,46,South Dakota,882235
MT,38,15.4,0.8,39.6,0.3,46328,1217,12.9,11.6,14.1,26.4,24.9,27.9,19.9,18.5,21.4,43,Montana,1062305
ND,35,11.5,0.9,35.1,0.2,59029,1681,8.8,7.6,10.0,32.2,30.5,33.9,19.9,18.4,21.5,47,North Dakota,760077
NH,34,9.2,0.6,42.5,0.3,66532,1297,11.4,10.1,12.7,27.4,25.8,29.1,17.5,16.0,19.0,41,New Hampshire,1356458
HI,32,11.4,0.8,38.1,0.2,69592,1456,8.1,7.1,9.0,22.1,20.7,23.5,14.1,13.0,15.3,40,Hawaii,1420491
WY,29,11.2,0.9,36.6,0.4,57055,1983,15.1,13.3,16.9,29.5,27.4,31.5,19.5,17.6,21.4,50,Wyoming,577737
ME,25,14.1,0.7,44.1,0.2,49462,1112,11.0,10.0,12.0,28.2,26.9,29.5,19.3,18.1,20.5,42,Maine,1338404
AK,16,11.2,0.9,33.3,0.3,71583,1784,15.0,13.3,16.6,29.7,27.8,31.6,19.9,18.2,21.6,48,Alaska,737438
VT,15,12.2,0.8,42.8,0.3,54166,1724,6.7,5.9,7.5,24.8,23.5,26.1,16.4,15.2,17.6,49,Vermont,626299
RI,15,14.3,0.9,39.8,0.3,54891,1488,8.0,6.8,9.2,27.0,25.4,28.6,16.3,14.8,17.7,44,Rhode Island,1057315
AL,6,19.3,0.5,38.6,0.2,42830,598,13.9,12.7,15.1,33.5,32.1,35.0,21.1,19.8,22.5,24,Alabama,4887871
