,Company,Count,Category,2016 U.S. Systemwide Sales (millions),2016 U.S. Average Sales Per Unit (thousands),Number of Franchised Units in 2016,Number of Company Units in 2016,Total Units in 2016
0,McDonald's,1898,Burger,36389.0,2550.0,13046,1109,14155
1,Taco Bell,1032,Ethnic,9353.8,1510.0,5399,879,6278
2,Burger King,833,Burger,9749.19,1361.43,7111,50,7161
3,Subway,776,Sandwich,11300.0,422.52,26744,0,26744
4,Arby's,663,Sandwich,3600.0,1117.0,2314,1044,3358
5,Wendy's,628,Burger,9510.0,1454.8,6207,330,6537
6,Jack in the Box,330,Burger,3445.0,1530.0,1838,417,2255
7,Pizza Hut,230,Pizza,5751.4,740.0,7371,318,7689
8,Dairy Queen,218,Snack,3621.0,1268.05,4515,2,4517
9,Chick-fil-A,206,Chicken,7973.5,4407.1,1730,372,2102
10,KFC,162,Chicken,4483.3,1060.0,3966,201,4167
11,Jimmy John's,119,Sandwich,2146.6,841.7,2584,63,2647
12,Panera Bread,76,Sandwich,5200.0,2700.0,1134,908,2042
13,Culver's,71,Burger,1301.38,2252.2,597,8,605
14,Dunkin' Donuts,71,Snack,8200.0,928.86,8828,0,8828
15,Del Taco,66,Ethnic,738.08,1359.0,310,241,551
16,Panda Express,61,Ethnic,2903.04,1606.0,95,1798,1893
17,In-N-Out Burger,54,Burger,630.03,1975.0,0,319,319
18,Boston Market,42,Chicken,659.16,1426.74,5,457,462
19,Whataburger,41,Burger,2181.35,2706.0,122,684,806
20,Church's Chicken,27,Chicken,800.27,724.0,838,238,1076
21,White Castle,27,Burger,716.71,1434.52,0,384,384
22,Baskin-Robbins,26,Snack,603.6,237.83,2538,0,2538
23,El Pollo Loco,23,Chicken,795.44,1988.0,259,201,460
24,Five Guys,22,Burger,1382.01,1038.24,914,507,1421
25,Sonic,20,Burger,4504.14,1284.0,3201,356,3557
