QSR 50 Rank,Company,Change in Position,Category,2016 U.S. Systemwide Sales (millions),2016 U.S. Average Sales Per Unit (thousands),Number of Franchised Units in 2016,Number of Company Units in 2016,Total Units in 2016,Total Change in Units from 2015
1,McDonald's*,-,Burger,36389.0,2550.0,13046,1109,14155,-104
2,Starbucks*1,-,Snack,14795.4,1123.25,5292,7880,13172,651
3,Subway,-,Sandwich,11300.0,422.52,26744,0,26744,-359
4,Wendy's,2,Burger,9510.0,1454.8,6207,330,6537,58
5,Burger King*,-1,Burger,9749.19,1361.43,7111,50,7161,35
6,Taco Bell,-1,Ethnic,9353.8,1510.0,5399,879,6278,157
7,Dunkin' Donuts*,-,Snack,8200.0,928.86,8828,0,8828,397
8,Chick-fil-A,-,Chicken,7973.5,4407.1,1730,372,2102,119
9,Pizza Hut,-,Pizza,5751.4,740.0,7371,318,7689,-133
10,Domino's*,1,Pizza,5335.2,993.33,4979,392,5371,171
11,Panera Bread,-1,Sandwich,5200.0,2700.0,1134,908,2042,70
12,Sonic*,1,Burger,4504.14,1284.0,3201,356,3557,31
13,KFC,1,Chicken,4483.3,1060.0,3966,201,4167,-103
14,Chipotle,-2,Ethnic,3904.38,1868.0,0,2198,2198,227
15,Carl's Jr./Hardee's*,-,Burger,3761.0,1249.0,2774,237,3011,53
16,Dairy Queen,1,Snack,3621.0,1268.05,4515,2,4517,6
17,Arby's,-1,Sandwich,3600.0,1117.0,2314,1044,3358,17
18,Little Caesars*,-,Pizza,3523.25,815.0,3809,514,4323,65
19,Jack in the Box,-,Burger,3445.0,1530.0,1838,417,2255,6
20,Popeyes Louisiana Kitchen*,-,Chicken,3140.3,1488.0,2029,55,2084,77
21,Papa John's,-,Pizza,3013.79,875.85,2739,702,3441,53
22,Panda Express,-,Ethnic,2903.04,1606.0,95,1798,1893,91
23,Whataburger,1,Burger,2181.35,2706.0,122,684,806,15
24,Jimmy John's,-1,Sandwich,2146.6,841.7,2584,63,2647,242
25,Zaxby's*,-,Chicken,1891.98,2318.6,677,139,816,91
26,Five Guys,-,Burger,1382.01,1038.24,914,507,1421,101
27,Culver's,-,Burger,1301.38,2252.2,597,8,605,46
28,Bojangles',-,Chicken,1229.48,1818.43,407,309,716,54
29,Steak n Shake,-,Burger,1027.0,1900.0,153,415,568,17
30,Wingstop,2,Chicken,943.3,1113.0,977,21,998,153
31,Papa Murphy's,-1,Pizza,884.77,592.96,1369,168,1577,41
32,Checkers/Rally's,1,Burger,837.36,1114.89,541,300,841,12
33,Jersey Mike's Subs*,7,Sandwich,825.0,695.03,1134,53,1187,139
34,Qdoba Mexican Eats,-,Ethnic,801.0,1179.0,332,367,699,38
35,Church's Chicken,-4,Chicken,800.27,724.0,838,238,1076,-55
36,El Pollo Loco,-1,Chicken,795.44,1988.0,259,201,460,27
37,Del Taco,-,Ethnic,738.08,1359.0,310,241,551,7
38,White Castle,1,Burger,716.71,1434.52,0,384,384,-6
39,Tim Hortons*,-1,Snack,713.09,1044.06,683,0,683,-201
40,Moe's Southwest Grill,3,Ethnic,688.04,1142.53,675,5,680,43
41,Firehouse Subs,-,Sandwich,683.53,690.0,1005,32,1037,93
42,Boston Market*,2,Chicken,659.16,1426.74,5,457,462,4
43,Jason's Deli,-1,Sandwich,646.59,2609.0,109,155,264,4
44,In-N-Out Burger*,1,Burger,630.03,1975.0,0,319,319,6
45,Baskin-Robbins*,1,Snack,603.6,237.83,2538,0,2538,9
46,McAlister's Deli,1,Sandwich,591.3,1646.13,355,32,387,26
47,Noodles & Company,4,Ethnic,560.56,1075.0,75,457,532,44
48,Auntie Anne's,1,Snack,548.0,493.8,1284,16,1300,48
49,Captain D's,-1,Seafood,544.43,1059.0,227,289,516,3
50,Jamba Juice*,-,Snack,536.92,639.95,767,72,839,21
