Rank,State,Population,Region,Abbreviation
1,California,39557045,West,CA
2,Texas,28701845,South,TX
3,Florida,21299325,South,FL
4,New York,19542209,Northeast,NY
5,Pennsylvania,12807060,Northeast,PA
6,Illinois,12741080,Midwest,IL
7,Ohio,11689442,Midwest,OH
8,Georgia,10519475,South,GA
9,North Carolina,10383620,South,NC
10,Michigan,9995915,Midwest,MI
11,New Jersey,8908520,Northeast,NJ
12,Virginia,8517685,South,VA
13,Washington,7535591,West,WA
14,Arizona,7171646,West,AZ
15,Massachusetts,6902149,Northeast,MA
16,Tennessee,6770010,South,TN
17,Indiana,6691878,Midwest,IN
18,Missouri,6126452,Midwest,MO
19,Maryland,6042718,South,MD
20,Wisconsin,5813568,Midwest,WI
21,Colorado,5695564,West,CO
22,Minnesota,5611179,Midwest,MN
23,South Carolina,5084127,South,SC
24,Alabama,4887871,South,AL
25,Louisiana,4659978,South,LA
26,Kentucky,4468402,South,KY
27,Oregon,4190713,West,OR
28,Oklahoma,3943079,South,OK
29,Connecticut,3572665,Northeast,CT
30,Utah,3161105,West,UT
31,Iowa,3156145,Midwest,IA
32,Nevada,3034392,West,NV
33,Arkansas,3013825,South,AR
34,Mississippi,2986530,South,MS
35,Kansas,2911505,Midwest,KS
36,New Mexico,2095428,West,NM
37,Nebraska,1929268,Midwest,NE
38,West Virginia,1805832,South,WV
39,Idaho,1754208,West,ID
40,Hawaii,1420491,West,HI
41,New Hampshire,1356458,Northeast,NH
42,Maine,1338404,Northeast,ME
43,Montana,1062305,West,MT
44,Rhode Island,1057315,Northeast,RI
45,Delaware,967171,South,DE
46,South Dakota,882235,Midwest,SD
47,North Dakota,760077,West,ND
48,Alaska,737438,West,AK
49,Vermont,626299,Northeast,VT
50,Wyoming,577737,West,WY
